#1		#
double thrustLevel_rotor1(22,2)    #		
	0	0.25
	5	0.25
	6	0.3
	11	0.3
	12	0.25
	35	0.25
	36	0.3
	41	0.3
	42	0.25
	50	0.25
	50.5	0.27
	51	0.27
	51.5	0.25
	55	0.25
	55.5	0.23
	56	0.23
	56.5	0.25
	60	0.25
	60.5	0.35
	65.5	0.35
	66	0.25
	500	0.25
double thrustLevel_rotor2(10,2)    #		
	0	0.25
	5	0.25
	6	0.3
	11	0.3
	12	0.25
	35	0.25
	36	0.3
	41	0.3
	42	0.25
	500	0.25
double thrustLevel_rotor3(26,2)    #		
	0	0.25
	5	0.25
	6	0.3
	11	0.3
	12	0.25
	20	0.25
	20.5	0.27
	21	0.27
	21.5	0.25
	30	0.25
	30.5	0.23
	31	0.23
	31.5	0.25
	35	0.25
	36	0.3
	41	0.3
	42	0.25
	50	0.25
	50.5	0.27
	51	0.27
	51.5	0.25
	55	0.25
	55.5	0.23
	56	0.23
	56.5	0.25
	500	0.25
double thrustLevel_rotor4(22,2)    #		
	0	0.25
	5	0.25
	6	0.3
	11	0.3
	12	0.25
	20	0.25
	20.5	0.27
	21	0.27
	21.5	0.25
	30	0.25
	30.5	0.23
	31	0.23
	31.5	0.25
	35	0.25
	36	0.3
	41	0.3
	42	0.25
	60	0.25
	60.5	0.35
	65.5	0.35
	66	0.25
	500	0.25
#		
